編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPPMLPKPHLFFAU17CA,,299.29,農舍,鋼筋混凝土造,105年3月14日,三層,一層 二層 三層
RPUOMLSKPHLFFAU87CA,30,29.54,住家用,鋼筋混凝土造,75年5月31日,九層,七層
RPUOMLSKPHLFFAU87CA,30,9.33,共有部份,鋼筋混凝土造,75年5月31日,九層,
RPROMLNKPHLFFAU07CA,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPROMLNKPHLFFAU07CA,17,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPROMLNKPHLFFAU07CA,17,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPQPMLNKPHLFFAU07CA,33,76.17,住家用,鋼筋混凝土造,72年9月10日,四層,二層
RPQPMLNKPHLFFAU07CA,33,6.47,共有部份,鋼筋混凝土造,72年9月10日,四層,
RPTPMLNKPHLFFAU37CA,7,169.96,住家用,鋼筋混凝土造,98年2月13日,三層,一層 二層 三層
RPSNMLNKPHLFFAU07CA,24,84.32,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,七層
RPSNMLNKPHLFFAU07CA,24,24.35,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPSOMLLJQHLFFAU96CA,33,943.19,見其他登記事項,鋼筋混凝土造,72年2月3日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 地下層
RPPNMLQJQHLFFAU07CA,2,125.56,住家用,鋼筋混凝土造,102年12月26日,二層,一層 二層
RPSOMLPLPHLFFAU47CA,,256.78,農舍,鋼筋混凝土造,105年4月14日,三層,三層 一層 二層
RPVNMLOKPHLFFAU57DA,31,87.52,住家用,鋼筋混凝土造,74年7月20日,七層,七層
RPVNMLOKPHLFFAU57DA,,23.74,共有部份,鋼筋混凝土造,,七層,
RPQOMLTLPHLFFAU67CA,27,806.35,住家用,鋼筋混凝土造,78年9月4日,四層,一層 二層 三層 四層 防空避難室
RPRPMLLJQHLFFAU96CA,,132.53,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,三層
RPRPMLLJQHLFFAU96CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPSPMLLJQHLFFAU07CA,,132.53,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,五層
RPSPMLLJQHLFFAU07CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPTPMLLJQHLFFAU17CA,21,34.09,住家用,鋼筋混凝土造,84年3月30日,五層,五層
RPTPMLLJQHLFFAU17CA,21,7.40,共有部份,鋼筋混凝土造,84年3月30日,五層,
RPVPMLPKPHLFFAU77CA,39,105.52,住商用,鋼筋混凝土加強磚造,66年10月12日,二層,一層 二層 騎樓
RPWNMLPKPHLFFAU67CA,20,95.90,住家用,鋼筋混凝土造,85年4月20日,五層,一層
RPWNMLPKPHLFFAU67CA,20,16.50,共有部份,鋼筋混凝土造,85年4月20日,五層,
RPSOMLTKPHLFFAU77CA,23,26.17,住家用,鋼筋混凝土造,82年12月15日,七層,五層
RPSOMLTKPHLFFAU77CA,23,4.26,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPSOMLTKPHLFFAU77CA,23,4.17,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPOOMLKLPHLFFAU56CA,,370.78,住家用,鋼筋混凝土造,105年4月28日,三層,一層 二層 三層 屋頂突出物
RPXOMLTKPHLFFAU28CA,20,73.87,住家用,見其他登記事項,85年11月1日,五層,四層 夾層
RPXOMLTKPHLFFAU28CA,20,41.93,共有部份,鋼筋混凝土造,85年11月1日,五層,
RPSPMLTKPHLFFAU87CA,19,34.18,住家用,鋼筋混凝土造,86年6月20日,五層,四層
RPSPMLTKPHLFFAU87CA,19,7.09,共有部份,鋼筋混凝土造,86年6月20日,五層,
RPSNMLKLPHLFFAU86CA,17,118.90,住家用,鋼筋混凝土造,88年4月14日,五層,三層
RPSNMLKLPHLFFAU86CA,17,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPSNMLKLPHLFFAU86CA,17,8.38,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPQNMLSKPHLFFAU37CA,14,191.41,住家用,鋼筋混凝土造,91年10月15日,四層,一層 二層 三層 四層
RPTNMLSKPHLFFAU67CA,22,40.19,住家用,鋼筋混凝土造,83年8月11日,八層,四層
RPTNMLSKPHLFFAU67CA,22,21.29,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPXNMLSKPHLFFAU08CA,39,42.84,住家用,鋼筋混凝土加強磚造,66年8月24日,二層,一層 二層
RPQNMLPKPHLFFAU07CA,22,64.66,商業用,鋼筋混凝土造,83年3月8日,九層,一層
RPQNMLPKPHLFFAU07CA,22,10.09,共有部份,鋼筋混凝土造,83年3月8日,九層,
RPPNMLKKQHLFFAU56CA,23,107.56,住家用,鋼筋混凝土造,82年12月15日,六層,三層
RPPNMLKKQHLFFAU56CA,23,37.26,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPXPMLKKQHLFFAU57CA,22,22.87,住家用,鋼筋混凝土造,83年11月15日,十二層,六層
RPXPMLKKQHLFFAU57CA,22,4.88,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPXPMLKKQHLFFAU57CA,22,6.92,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPPQMLKKQHLFFAU86CA,22,25.97,住家用,鋼筋混凝土造,83年11月15日,十二層,六層
RPPQMLKKQHLFFAU86CA,22,6.37,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPPQMLKKQHLFFAU86CA,22,8.30,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPRNMLLLPHLFFAU86CA,12,224.13,住家用,鋼筋混凝土造,93年9月7日,三層,一層 二層 三層
RPTOMLLLPHLFFAU17CA,18,52.42,住家用,鋼筋混凝土加強磚造,87年8月24日,一層,一層
