編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLMLPHLFFDP66DA,17,2.14,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPPNMLMLPHLFFDP66DA,17,19.26,見其他登記事項,鋼筋混凝土造,88年7月30日,十四層,
RPPNMLLKQHLFFBP98DA,21,41.94,住家用,鋼筋混凝土造,84年7月10日,十三層,九層
RPPNMLLKQHLFFBP98DA,21,28.07,共用部份,鋼筋混凝土造,84年7月10日,十三層,
RPQNMLPKPHLFFBP86EA,75,45.67,住家用,見其他登記事項,30年7月1日,一層,一層
RPQNMLPKPHLFFBP86EA,52,139.69,商業用,鋼筋混凝土造,52年12月31日,二層,一層 二層 騎樓
RPTNMLTKPHLFFEP67CA,4,202.73,見其他登記事項,鋼筋混凝土造,101年8月23日,三層,一層 二層 三層 屋頂突出物
RPROMLSKPHLFFAP17DA,35,120.84,見其他登記事項,加強磚造,70年11月20日,二層,一層 二層 屋頂突出物 騎樓
RPSNMLSKPHLFFDP37CA,10,.64,見其他登記事項,鋼筋混凝土造,95年12月5日,十二層,一層
RPSNMLSKPHLFFDP37CA,10,53.94,見其他登記事項,鋼筋混凝土造,95年12月5日,十二層,五層
RPSNMLSKPHLFFDP37CA,10,7.45,見其他登記事項,鋼筋混凝土造,95年12月5日,十二層,
RPSNMLSKPHLFFDP37CA,10,10.19,見其他登記事項,鋼筋混凝土造,95年12月5日,十二層,
RPTNMLKLPHLFFDP76CA,,250.13,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層
RPXNMLSJQHLFFDP87CA,18,75.53,住家用,鋼筋混凝土造,87年11月30日,九層,六層
RPXNMLSJQHLFFDP87CA,18,7.58,共有部份,鋼筋混凝土造,87年11月30日,九層,
RPXNMLSJQHLFFDP87CA,18,19.10,共有部份,鋼筋混凝土造,87年11月30日,九層,
RPROMLTJQHLFFDP47CA,10,34.63,住家用,鋼筋混凝土造,95年8月3日,五層,五層
RPROMLTJQHLFFDP47CA,10,18.86,見其他登記事項,鋼筋混凝土造,95年8月3日,五層,
RPROMLTJQHLFFDP47CA,10,24.44,見其他登記事項,鋼筋混凝土造,95年8月3日,五層,
RPTNMLSLPHLFFDP57CA,1,283.38,住家用,鋼筋混凝土造,104年7月9日,四層,一層 二層 三層 四層
RPRNMLRLPHLFFDP27CA,21,44.47,住家用,鋼筋混凝土造,84年4月6日,十二層,五層
RPRNMLRLPHLFFDP27CA,21,2.11,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPRNMLRLPHLFFDP27CA,21,6.69,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPTOMLTJQHLFFAP37CA,21,22.33,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,51.83,共同部份,鋼筋混凝土造,84年12月18日,十層,
RPTOMLTJQHLFFAP37CA,21,99.59,共同部份,鋼筋混凝土造,84年12月18日,十層,
RPTOMLTJQHLFFAP37CA,21,20.69,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,11.61,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,11.61,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,12.56,住家用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,19.36,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,14.87,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,38.41,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,13.07,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPTOMLTJQHLFFAP37CA,21,50.05,商業用,鋼筋混凝土造,84年12月18日,十層,三層
RPUNMLSKPHLFFAP27CA,23,171.72,住家用,鋼筋混凝土造,82年7月21日,四層,一層 二層 三層 四層 電梯樓梯間
RPUNMLSKPHLFFAP27CA,23,3.17,住家用,鋼筋混凝土造,82年7月25日,二層,一層 二層 電梯樓梯間
