鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
士林區,房地(土地+建物),臺北市士林區至誠路二段1~30號,41.46,住,,,1050507,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710719,126.86,3,2,2,有,無,17000000,134006,,0.0,0,,RPVNMLOJPHLFFEA38CA
士林區,車位,臺北市士林區德行西路31~60號,0.09,工,,,1050622,土地0建物0車位2,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,71.1,0,0,0,有,有,5500000,,坡道平面,0.0,5500000,,RPQOMLOJPHLFFEA97CA
士林區,車位,臺北市士林區德行西路31~60號,0.05,工,,,1050622,土地0建物0車位1,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,35.37,0,0,0,有,有,2550000,,坡道平面,35.37,2550000,,SPQOMLOJPHLFFEA08CA
士林區,車位,臺北市士林區德行西路31~60號,0.05,工,,,1050622,土地0建物0車位1,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,35.37,0,0,0,有,有,2550000,,坡道平面,35.37,2550000,,TPQOMLOJPHLFFEA18CA
士林區,房地(土地+建物),臺北市士林區中正路241~270號,28.8,住,,,1050509,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0560101,68.5,3,2,1,有,無,15900000,232117,,0.0,0,,RPSOMLOJPHLFFEA18CA
北投區,房地(土地+建物)+車位,臺北市北投區泉源路31~60號,50.15,住,,,1021209,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,342.77,1,2,2,有,無,58600000,192068,坡道平面,61.62,4600000,,RPQNMLPJPHLFFEA97CA
北投區,房地(土地+建物),臺北市北投區光明路181~210號,2.86,其他,,,1050617,土地1建物1車位0,十層,十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940322,25.22,1,1,1,有,有,4000000,158604,,0.0,0,價格含增建,RPOQMLQJPHLFFEA18CA
北投區,車位,臺北市北投區泉源路31~60號,1.81,住,,,1040523,土地0建物0車位1,一層,十九層,其他,見其他登記事項,鋼筋混凝土造,1050315,30.85,0,0,0,有,有,2000000,,坡道平面,30.81,2000000,,RPWQMLQJPHLFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區泉源路31~60號,46.11,住,,,1040523,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,298.53,3,2,2,有,有,48660000,174287,坡道平面,30.81,2000000,,SPWQMLQJPHLFFEA09CA
士林區,土地,光華段三小段721~750地號,383.04,商,,,1050331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,225950000,589886,,0.0,0,,RPRPMLLKPHLFFEA97CA
士林區,土地,光華段三小段721~750地號,85.96,商,,,1050331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50700000,589809,,0.0,0,,RPSPMLLKPHLFFEA08CA
士林區,土地,光華段三小段721~750地號,80.0,商,,,1050331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47190000,589875,,0.0,0,,RPTPMLLKPHLFFEA18CA
士林區,房地(土地+建物),臺北市士林區延平北路五段231巷31~60號,24.0,住,,,1050616,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620628,65.48,2,1,1,有,無,10000000,152718,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLNKPHLFFEA77CA
北投區,房地(土地+建物),臺北市北投區大度路三段301巷61~90號,87.1,住,,,1050613,土地1建物1車位0,三層，四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860724,181.07000000000002,4,3,2,有,有,14800000,81736,,0.0,0,,RPTOMLOKPHLFFEA38CA
北投區,房地(土地+建物),臺北市北投區文化三路121~150號,36.6,住,,,1050605,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750312,115.3,3,2,1,有,有,12550000,108846,,0.0,0,,RPQOMLTKPHLFFEA58CA
北投區,房地(土地+建物),臺北市北投區石牌里致遠一路一段46巷1~30號,42.5,住,,,1050428,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640324,99.64,2,2,1,有,無,10000000,100361,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLMLPHLFFEA87CA
北投區,房地(土地+建物),臺北市北投區大業路280巷9弄1~30號,28.46,住,,,1050520,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671223,75.36,2,2,1,有,無,11000000,145966,,0.0,0,,RPOPMLPLPHLFFEA18CA
北投區,房地(土地+建物),臺北市北投區承德路七段342巷1~30號,18.44,住,,,1050620,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1031023,93.45,0,0,1,無,有,16680000,178491,,0.0,0,,RPROMLQLPHLFFEA48CA
北投區,房地(土地+建物),臺北市北投區承德路七段342巷1~30號,17.07,住,,,1050620,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1031023,86.49000000000001,0,0,1,無,有,15700000,181524,,0.0,0,,RPSOMLQLPHLFFEA58CA
北投區,房地(土地+建物)+車位,臺北市北投區承德路七段342巷1~30號,12.91,住,,,1050621,土地1建物1車位1,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1031023,78.33,0,0,1,無,有,13000000,178544,升降機械,13.36,1400000,,RPUOMLQLPHLFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段36巷1~30號,78.67,住,,,1050530,土地1建物2車位2,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,469.57000000000005,4,2,2,有,有,89000000,214665,坡道平面,76.4,4600000,預售屋,RPSOMLTLPHLFFEA88CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段36巷1~30號,42.96,住,,,1050530,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,251.93,4,2,2,有,有,46600000,205867,坡道平面,38.2,2600000,預售屋,RPTOMLTLPHLFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段36巷1~30號,30.17,住,,,1050530,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,188.73000000000002,3,2,2,有,有,35000000,217232,坡道平面,38.2,2300000,預售屋,RPUOMLTLPHLFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段36巷1~30號,42.96,住,,,1050530,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,251.93,4,2,2,有,有,46000000,201656,坡道平面,38.2,2900000,預售屋,RPVOMLTLPHLFFEA56CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段36巷1~30號,35.72,住,,,1050530,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,216.82,4,2,2,有,有,39980000,211510,坡道平面,38.2,2200000,"預售屋,權利人二人",RPXOMLTLPHLFFEA76CA
北投區,房地(土地+建物),臺北市北投區中央南路二段1~30號,7.81,工,,,1050614,土地1建物1車位0,八層,十九層,廠辦,見其他登記事項,鋼筋混凝土造,1040828,48.72,0,0,0,無,無,6457000,132533,,0.0,0,,RPOPMLTLPHLFFEA58CA
北投區,房地(土地+建物),臺北市北投區中央南路二段1~30號,8.2,工,,,1050614,土地1建物1車位0,八層,十九層,廠辦,見其他登記事項,鋼筋混凝土造,1040828,51.06,0,0,0,無,無,6747000,132139,,0.0,0,,RPQPMLTLPHLFFEA78CA
大安區,房地(土地+建物),臺北市大安區杭州南路二段1~30號,14.2,住,,,1050614,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,52.82,2,1,1,有,無,13800000,261265,,0.0,0,,RPVNMLQJPHLFFFA68CA
大安區,房地(土地+建物),臺北市大安區八德路二段10巷1~30號,40.61,住,,,1050414,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780927,114.14,3,2,2,有,無,15000000,131418,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLTLPHLFFFA09CA
中正區,房地(土地+建物),臺北市中正區三元街211~240號,6.81,住,,,1050603,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810910,51.25,1,1,1,有,有,8160000,159220,,0.0,0,,RPPNMLMJPHLFFAA27DA
文山區,車位,臺北市文山區福興路63巷4弄1~30號,0.41,住,,,1050624,土地0建物0車位1,一層,八層,其他,見使用執照,鋼筋混凝土造,0860613,27.16,0,0,0,有,有,1330000,,坡道平面,27.16,1330000,,RPTNMLMJPHLFFAA67DA
文山區,房地(土地+建物),臺北市文山區木新路三段303巷2弄1~30號,37.0,住,,,1050502,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,77.24,3,2,1,有,無,9280000,120145,,0.0,0,,RPQNMLNJPHLFFAA47DA
文山區,房地(土地+建物),臺北市文山區景興路153巷1~30號,4.62,住,,,1050613,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830317,27.95,1,1,1,有,有,4900000,175313,,0.0,0,,RPXQMLQJPHLFFAA78DA
中正區,房地(土地+建物),臺北市中正區博愛路230巷1~30號,20.34,住,,,1050605,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720624,95.52,2,2,2,有,有,19800000,207286,,0.0,0,,RPQNMLKKPHLFFAA27DA
內湖區,房地(土地+建物),臺北市內湖區江南街71巷16弄31~60號,24.94,住,,,1050528,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700420,75.99,3,2,1,有,無,13000000,171075,,0.0,0,,RPRNMLMJPHLFFCA67DA
中山區,房地(土地+建物),臺北市中山區林森北路511~540號,3.47,商,,,1050612,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,37.69,1,2,1,有,有,9700000,257363,,0.0,0,含增建或未登記建物。,RPPRMLOJPHLFFCA08DA
中山區,房地(土地+建物),臺北市中山區復興北路31~60號,19.76,商,,,1050523,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690729,195.71,3,1,1,有,有,36880000,188442,,0.0,0,,RPRNMLTJPHLFFCA38DA
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷18弄31~60號,24.74,住,,,1050520,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730618,79.16,3,1,1,有,無,11000000,138959,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLNKPHLFFCA97DA
內湖區,房地(土地+建物),臺北市內湖區新明路312巷1~30號,9.18,住,,,1050620,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030108,52.9,0,0,1,有,有,8200000,155009,,0.0,0,,RPSPMLOKPHLFFCA28DA
信義區,房地(土地+建物),臺北市信義區吳興街368巷1~30號,22.6,住,,,1050603,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790115,88.08,3,2,2,有,無,11800000,133969,,0.0,0,,RPRNMLPJPHLFFDA08DA
南港區,房地(土地+建物)+車位,臺北市南港區東明街31~60號,23.26,住,,,1050511,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971110,144.93,2,2,1,有,有,25000000,172497,坡道平面,45.29,0,,RPWNMLPJPHLFFDA58DA
士林區,房地(土地+建物),臺北市士林區通河西街二段121~150號,19.18,住,,,1050611,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000525,92.21000000000001,2,1,1,有,有,12900000,139898,,0.0,0,,RPUPMLLJPHLFFEA28DA
北投區,房地(土地+建物),臺北市北投區裕民四路2巷1~30號,27.5,商,,,1050429,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0661020,96.94,3,2,2,有,無,14800000,152672,,0.0,0,,RPXPMLLJPHLFFEA58DA
士林區,房地(土地+建物),臺北市士林區克強路1~30號,35.93,住,,,1050615,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700217,124.85,3,2,2,有,無,19000000,152183,,0.0,0,,RPPNMLOJPHLFFEA87DA
北投區,房地(土地+建物),臺北市北投區文化三路1~30號,53.55,住,,,1050619,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821209,147.92000000000002,3,2,2,有,有,13000000,87885,,0.0,0,,RPPRMLPJPHLFFEA38DA
北投區,房地(土地+建物),臺北市北投區稻香路150巷1~30號,40.95,住,,,1050630,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701027,126.51,3,1,2,有,無,4900000,38732,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLPKPHLFFEA38DA
大安區,房地(土地+建物),臺北市大安區復興南路一段211~240號,17.13,其他,,,1050613,土地1建物1車位0,七層,十五層,辦公商業大樓,商業用,鋼筋混凝土造,0760116,205.26999999999998,4,2,2,有,有,59880000,291713,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLLJPHLFFFA38DA
大安區,房地(土地+建物)+車位,臺北市大安區永康街7巷1~30號,21.71,商,,,1050514,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970326,242.55,3,2,2,有,有,80000000,329829,升降平面,0.0,0,,RPQOMLLJPHLFFFA87DA
大安區,房地(土地+建物),臺北市大安區臥龍街1~30號,30.25,住,,,1050604,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,36.65,2,1,1,有,無,7000000,190996,,0.0,0,親屬間買賣,RPQNMLOJPHLFFFA08DA
