編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVQMLKLPHLFFBF68CA,21,89.40,住家用,鋼筋混凝土造,84年11月2日,五層,一層
RPVQMLKLPHLFFBF68CA,21,47.97,共有部分,鋼筋混凝土造,84年11月2日,五層,
RPRQMLLLPHLFFBF38CA,36,95.49,住家用,鋼筋混凝土造,69年11月14日,五層,一層 平台
RPUOMLTLPHLFFBF66CA,7,43.16,見其他登記事項,鋼筋混凝土造,98年10月26日,十九層,
RPSNMLOJPHLFFCF38CA,21,48.10,住家用,鋼筋混凝土造,84年5月13日,二十一層,十層
RPSNMLOJPHLFFCF38CA,21,10.40,共有部分,鋼筋混凝土造,84年5月13日,二十一層,
RPSNMLOJPHLFFCF38CA,21,2.24,見使用執照,鋼筋混凝土造,84年5月13日,二十一層,
RPSNMLOJPHLFFCF38CA,21,24.23,見使用執照,鋼筋混凝土造,84年5月13日,二十一層,地下四層 地下五層
RPSQMLQJPHLFFCF88CA,18,89.38,住家用,鋼筋混凝土造,87年6月9日,四層,二層
RPSQMLQJPHLFFCF88CA,18,7.01,共有部分,鋼筋混凝土造,87年6月9日,四層,
RPSQMLQJPHLFFCF88CA,18,6.89,共有部分,鋼筋混凝土造,87年6月9日,四層,
RPOPMLNKPHLFFCF18CA,33,107.78,住家用,鋼筋混凝土造,72年7月14日,五層,三層
RPPPMLMLPHLFFCF28CA,35,93.38,住家用,鋼筋混凝土造,70年4月4日,四層,陽台 三層
RPTNMLQLPHLFFCF88CA,3,11.77,見其他登記事項,鋼筋混凝土造,102年3月26日,十一層,
RPTNMLLMPHLFFCF48CA,7,6.04,停車空間,鋼筋混凝土造,98年2月12日,十層,地下二層
RPTNMLLMPHLFFCF48CA,7,13.95,共有部分,鋼筋混凝土造,98年2月12日,十層,
RPOOMLLJPHLFFDF87CA,5,90.88,住家用,鋼筋混凝土造,100年8月2日,十一層,三層
RPOOMLLJPHLFFDF87CA,5,19.56,見其他登記事項,鋼筋混凝土造,100年8月2日,十一層,
RPOOMLLJPHLFFDF87CA,5,17.17,見其他登記事項,鋼筋混凝土造,100年8月2日,十一層,
RPOOMLLJPHLFFDF87CA,5,16.26,見其他登記事項,鋼筋混凝土造,100年8月2日,十一層,
RPPOMLLJPHLFFDF97CA,17,41.08,住家用,鋼筋混凝土造,88年6月25日,十三層,八層
RPPOMLLJPHLFFDF97CA,17,32.73,共有部分,鋼筋混凝土造,88年6月25日,十四層,
RPRNMLQJPHLFFDF58CA,11,48.45,共有部分,鋼筋混凝土造,94年4月27日,八層,
RPPOMLQJPHLFFDF48CA,19,114.18,住家用,鋼筋混凝土造,85年12月5日,四層,一層 二層
RPPOMLQJPHLFFDF48CA,19,55.40,見其他登記事項,鋼筋混凝土造,85年12月5日,四層,
RPPNMLLKPHLFFDF97CA,22,100.20,住家用,鋼筋混凝土造,83年7月7日,七層,一層
RPPNMLLKPHLFFDF97CA,22,20.56,共有部分,鋼筋混凝土造,83年7月7日,七層,
RPWPMLTKPHLFFDF07CA,20,55.03,住家用,鋼筋混凝土造,85年3月11日,五層,三層
RPWPMLTKPHLFFDF07CA,20,16.45,見其他登記事項,鋼筋混凝土造,85年3月11日,五層,
RPUOMLLLPHLFFDF68CA,15,96.83,住家用,鋼筋混凝土造,89年12月12日,十四層,五層
RPUOMLLLPHLFFDF68CA,15,32.97,共有部分,鋼筋混凝土造,89年12月12日,十四層,
RPRPMLTJQHLFFDF56CA,15,30.72,共有部分,鋼筋混凝土造,90年3月14日,十六層,
RPSPMLTJQHLFFDF66CA,15,35.61,共有部分,鋼筋混凝土造,90年3月14日,十六層,
RPPOMLLJPHLFFEF08CA,39,108.53,住家用,加強磚造,66年4月1日,三層,二層 走廊
RPXNMLOJPHLFFEF09CA,21,15.99,共有部份,鋼筋混凝土造,84年7月15日,十六層,
