鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中壢區,房地(土地+建物),桃園市中壢區中山東路三段102巷1~30號,16.66,住,,,1050607,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830623,104.41,3,2,2,有,有,4380000,41950,,0.0,0,,RPQOMLPJPHLFFBH48CA
中壢區,房地(土地+建物),桃園市中壢區環北路1~30號,137.74,住,,,1050520,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,加強磚造,0660201,163.92,0,0,0,無,無,34000000,207418,,0.0,0,,RPROMLQJPHLFFBH68CA
中壢區,車位,桃園市中壢區領航南路一段61~90號,0.54,住,,,1050620,土地0建物0車位1,,,其他,,,,33.98,0,0,0,有,有,500000,,坡道平面,33.98,500000,,RPPPMLRJPHLFFBH68CA
中壢區,車位,桃園市中壢區領航南路一段61~90號,0.54,住,,,1050620,土地0建物0車位1,,,其他,,,,33.98,0,0,0,有,有,1300000,,坡道平面,33.98,1300000,,RPRPMLRJPHLFFBH88CA
中壢區,車位,桃園市中壢區領航南路一段61~90號,0.54,住,,,1050620,土地0建物0車位1,,,其他,,,,33.98,0,0,0,有,有,500000,,坡道平面,33.98,500000,,RPSPMLRJPHLFFBH98CA
中壢區,房地(土地+建物)+車位,桃園市中壢區新興路230巷31~60號,9.8,商,,,1050604,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000905,125.50999999999999,2,1,1,有,有,7800000,62146,坡道平面,0.0,0,,RPQPMLLKPHLFFBH28CA
中壢區,房地(土地+建物)+車位,桃園市中壢區中園路1~30號,11.17,住,,,1050623,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960301,139.5,3,2,2,有,有,7000000,50179,坡道平面,24.47,0,,RPQRMLOKPHLFFBH78CA
中壢區,房地(土地+建物),桃園市中壢區大勇一街1~30號,17.83,住,,,1050527,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801125,68.3,2,1,1,有,無,2450000,35871,,0.0,0,,RPWOMLLLPHLFFBH88CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,24.93,商,,,1050531,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,197.49,4,2,2,有,有,9580000,51359,坡道平面,33.35,1150000,,RPORMLQLPHLFFBH88CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,24.93,商,,,1050531,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,197.76999999999998,4,2,2,有,有,8450000,43790,坡道平面,33.35,1250000,,RPQRMLQLPHLFFBH09CA
