編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRRMLLKPHLFFBF58CC,10,12.84,共有部分,鋼筋混凝土造,95年10月5日,二十二層,
RPRRMLLKPHLFFBF58CC,10,25.61,共有部分,鋼筋混凝土造,95年10月5日,二十二層,
RPRRMLLKPHLFFBF58CC,10,48.65,共有部分,鋼筋混凝土造,95年10月5日,二十二層,
RPSRMLLKPHLFFBF68CC,5,115.84,見其他登記事項,鋼筋混凝土造,100年5月24日,十五層,
RPSRMLLKPHLFFBF68CC,5,57.69,見其他登記事項,鋼筋混凝土造,100年5月24日,十五層,
RPSRMLLKPHLFFBF68CC,5,25.63,見其他登記事項,鋼筋混凝土造,100年5月24日,十五層,
RPURMLLKPHLFFBF88CC,4,76.33,見其他登記事項,鋼筋混凝土造,101年8月3日,二層,
RPWRMLLKPHLFFBF09CC,40,62.20,住家用,加強磚造,65年12月20日,四層,
RPXRMLLKPHLFFBF56CC,3,164.43,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPXRMLLKPHLFFBF56CC,3,36.38,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPXRMLLKPHLFFBF56CC,3,31.73,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPXRMLLKPHLFFBF56CC,3,9.62,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPXRMLLKPHLFFBF56CC,3,7.09,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPXRMLLKPHLFFBF56CC,3,46.48,見其他登記事項,鋼筋混凝土造,102年7月31日,十六層,
RPUNMLLKPHLFFDF68CC,21,102.24,商業用,鋼筋混凝土造,83年12月31日,八層,
RPUNMLLKPHLFFDF68CC,21,23.58,共有部分,鋼筋混凝土造,83年12月31日,八層,
RPUNMLLKPHLFFBF58DC,25,64.79,住家用,鋼筋混凝土造,80年10月28日,六層,
RPUNMLLKPHLFFBF58DC,25,12.44,共有部分,鋼筋混凝土造,80年10月28日,六層,
RPUNMLLKPHLFFBF58DC,25,1.22,共有部分,鋼筋混凝土造,80年10月28日,六層,
RPQPMLLKPHLFFBF48EC,2,138.67,見其他登記事項,鋼骨鋼筋混凝土造,103年11月17日,二十五層,
RPQPMLLKPHLFFBF48EC,2,61.98,見其他登記事項,鋼骨鋼筋混凝土造,103年11月17日,二十五層,
RPQPMLLKPHLFFBF48EC,2,40.62,見其他登記事項,鋼骨鋼筋混凝土造,103年11月17日,二十五層,
RPWOMLLKPHLFFAF68CC,32,86.90,見使用執照,鋼筋混凝土造,73年11月14日,五層,
RPWNMLLKPHLFFHF66CC,16,292.24,見其他登記事項,鋼筋混凝土造,89年4月12日,十層,
RPWNMLLKPHLFFHF66CC,16,46.65,共有部分,鋼筋混凝土造,89年4月12日,十層,
RPWNMLLKPHLFFHF66CC,16,30.47,共有部分,鋼筋混凝土造,89年4月12日,十層,
RPWNMLLKPHLFFHF66CC,16,27.73,共有部分,鋼筋混凝土造,89年4月12日,十層,
RPWNMLLKPHLFFHF66CC,16,9.56,共有部分,鋼筋混凝土造,89年4月12日,十層,
RPPPMLMKPHLFFHF88CC,36,86.85,商業用,鋼筋混凝土造,69年3月14日,五層,
RPRPMLMKPHLFFHF09CC,8,77.30,住家用,鋼筋混凝土造,97年7月10日,十四層,
RPRPMLMKPHLFFHF09CC,8,24.20,共有部分,鋼筋混凝土造,97年7月10日,十四層,
RPUPMLMKPHLFFHF76CC,3,60.66,見其他登記事項,見其他登記事項,102年8月13日,十五層,
RPUPMLMKPHLFFHF76CC,3,16.48,見其他登記事項,見其他登記事項,102年8月13日,十五層,
