鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路331~360號,14.24,住,,,1050425,土地3建物1車位1,九層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,125.82,3,1,2,有,有,7260000,56025,坡道平面,15.87,1100000,,RPQRMLTLPHLFFCC98CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,10.52,住,,,1050425,土地3建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,85.12,2,1,1,有,有,4580000,52764,坡道平面,13.47,800000,,RPRRMLTLPHLFFCC09CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路391~420號,18.4,住,,,1050425,土地3建物1車位1,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,168.54000000000002,3,2,2,有,有,11390000,67400,坡道平面,15.87,1100000,,RPTRMLTLPHLFFCC66CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,18.21,住,,,1050425,土地3建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,166.62,3,2,2,有,有,10950000,65672,坡道平面,15.87,1050000,,RPURMLTLPHLFFCC76CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,10.82,住,,,1050425,土地3建物1車位1,七層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,90.53,2,1,1,有,有,5800000,64060,坡道平面,15.87,0,,RPVRMLTLPHLFFCC86CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,14.05,住,,,1050425,土地3建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,121.46000000000001,3,1,2,有,有,6730000,53981,坡道平面,13.47,900000,,RPXRMLTLPHLFFCC07CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,10.39,住,,,1050425,土地3建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,86.16,2,1,1,有,有,5070000,57903,坡道平面,15.87,1000000,,RPTPMLTLPHLFFCC09CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,15.56,住,,,1050425,土地3建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,136.93,3,2,2,有,有,8350000,59533,坡道平面,13.47,1000000,,RPVPMLTLPHLFFCC66CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,17.15,住,,,1050425,土地3建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,155.75,3,2,2,有,有,9480000,61338,坡道平面,15.87,900000,,RPWPMLTLPHLFFCC76CA
安樂區,房地(土地+建物),基隆市安樂區麥金路241~270號,13.59,住,,,1050425,土地3建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,139.87,3,2,2,有,有,8600000,61486,,0.0,0,,RPOQMLTLPHLFFCC68CA
安樂區,房地(土地+建物),基隆市安樂區麥金路241~270號,6.83,住,,,1050425,土地3建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,70.29,2,1,1,有,有,4150000,59041,,0.0,0,,RPQQMLTLPHLFFCC88CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,14.03,住,,,1050425,土地3建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,123.6,3,1,2,有,有,7300000,57546,坡道平面,15.87,1100000,,RPRQMLTLPHLFFCC98CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路271~300號,18.21,住,,,1050425,土地3建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,164.22,3,2,2,有,有,11250000,68657,坡道平面,13.47,900000,,RPUOMLLMPHLFFCC38CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路271~300號,18.21,住,,,1050425,土地3建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,166.62,3,2,2,有,有,10920000,65141,坡道平面,15.87,1100000,,RPUNMLTLPHLFFCC98CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,15.76,住,,,1050425,土地3建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,141.39000000000001,3,2,2,有,有,8130000,56804,坡道平面,15.87,1000000,,RPXNMLTLPHLFFCC66CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,10.39,住,,,1050425,土地3建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,86.16,2,1,1,有,有,4650000,51928,坡道平面,15.87,1000000,,RPOOMLTLPHLFFCC48CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,14.05,住,,,1050425,土地3建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,123.86000000000001,3,1,2,有,有,6100000,46296,坡道平面,15.87,1100000,,RPPOMLTLPHLFFCC58CA
安樂區,房地(土地+建物),基隆市安樂區麥金路271~300號,7.13,住,,,1050425,土地3建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,73.31,2,1,1,有,有,4180000,57018,,0.0,0,,RPSNMLTLPHLFFCC78CA
