編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNLPHLFFCQ76CA,40,61.10,住家用,鋼筋混凝土加強磚造,65年4月29日,二層,一層 二層
RPPNMLSKPHLFFCQ07CA,22,210.11,住家用,鋼筋混凝土造,83年10月3日,四層,一層 二層 三層 四層
RPPOMLRLPHLFFDQ37DA,36,123.96,住家用,鋼筋混凝土加強磚造,69年1月26日,三層,一層 二層 三層 騎樓
RPROMLRLPHLFFDQ47CA,18,157.42,住家用,鋼筋混凝土造,87年3月17日,三層,一層 二層 三層
RPOOMLPLPHLFFDQ07DA,36,131.56,住家用,鋼筋混凝土加強磚造,69年3月18日,二層,一層 二層
RPSNMLSKPHLFFDQ57DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPUNMLSKPHLFFDQ77DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPQNMLTKPHLFFCQ27CA,22,254.65,住商用,鋼筋混凝土造,83年10月28日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLTJQHLFFCQ47CA,23,167.21,住家用,鋼筋混凝土造,82年9月1日,四層,一層 二層 三層 四層
RPXNMLQLPHLFFCQ77CA,36,61.84,住家用,見其他登記事項,69年8月15日,一層,一層
RPSNMLTLPHLFFCQ57CA,14,100.16,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,四層
RPPNMLLMPHLFFCQ56CA,24,81.47,住家用,鋼筋混凝土造,81年11月30日,五層,五層
RPPNMLLMPHLFFCQ56CA,24,8.46,共有部份,鋼筋混凝土造,81年11月30日,地下層,
RPPNMLLMPHLFFCQ56CA,24,6.94,共有部份,鋼筋混凝土造,81年11月30日,五層,
RPOOMLLJQHLFFCQ98CA,14,100.80,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,二層
RPOOMLLJQHLFFCQ98CA,14,33.34,停車空間,鋼筋混凝土造,91年7月25日,五層,
RPOOMLLJQHLFFCQ98CA,14,11.69,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPOOMLLJQHLFFCQ98CA,14,.68,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPPOMLSKPHLFFDQ27CA,20,94.48,見其他登記事項,鋼筋混凝土造,85年10月11日,五層,四層
RPPOMLSKPHLFFDQ27CA,20,31.95,見其他登記事項,鋼筋混凝土造,85年10月11日,五層,
RPPOMLSKPHLFFDQ27CA,20,19.22,見其他登記事項,鋼筋混凝土造,85年10月11日,五層,
RPOOMLRLPHLFFDQ17CA,,197.30,見其他登記事項,鋼筋混凝土造,105年2月19日,三層,一層 二層 三層 見其他登記事項
